antibodytarget,cellline,tissue,cid,compound,concentration,concordancetable,datasetid,factor,level1,level2,libraryid,lincspertid,nCtrSamples,nTrtSamples,peaktype,platform,signatureid,lincsSigID,organism,clueIoCompound,integratedMoas,GeneTargets,time,treatment,perturbagenID,stitchID,pubChemID,is_exemplar,pert_type
,MCF7,breast,cID_5463,daunorubicin,"7uM,1uM",concordanceLib2,,perturbagen,"daunorubicin_0.000007,0.000001",control,LIB_2,LSM-2962,7.0,3.0,,,CMAP_5463,,,,DNA topoisomerase II alpha inhibitor,TOP2A,,daunorubicin,,CID30323,30323,,
,MCF7,breast,cID_547,colchicine,10uM,concordanceLib2,,perturbagen,colchicine_0.00001,control,LIB_2,LSM-5199,11.0,2.0,,,CMAP_547,,,,Tubulin inhibitor,TUBA1A|TUBA1B|TUBA1C|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,,colchicine,,CID6167,6167,,
,MCF7,breast,cID_5478,valinomycin,0.1uM,concordanceLib2,,perturbagen,valinomycin_0.0000001,control,LIB_2,LSM-6389,2.0,2.0,,,CMAP_5478,,,,,,,valinomycin,,CID5649,5649,,
,PC3,prostate,cID_5479,valinomycin,0.1uM,concordanceLib2,,perturbagen,valinomycin_0.0000001,control,LIB_2,LSM-6389,2.0,2.0,,,CMAP_5479,,,,,,,valinomycin,,CID5649,5649,,
,MCF7,breast,cID_548,colchicine,"0.1uM,10uM",concordanceLib2,,perturbagen,"colchicine_0.0000001,0.00001",control,LIB_2,LSM-5199,12.0,3.0,,,CMAP_548,,,,Tubulin inhibitor,TUBA1A|TUBA1B|TUBA1C|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,,colchicine,,CID6167,6167,,
,MCF7,breast,cID_5484,rotenone,1uM,concordanceLib2,,perturbagen,rotenone_0.000001,control,LIB_2,LSM-5260,2.0,2.0,,,CMAP_5484,,,,Mitochondrial complex I inhibitor,MT-ND1,,rotenone,,CID6758,6758,,
,PC3,prostate,cID_5485,rotenone,1uM,concordanceLib2,,perturbagen,rotenone_0.000001,control,LIB_2,LSM-5260,2.0,2.0,,,CMAP_5485,,,,Mitochondrial complex I inhibitor,MT-ND1,,rotenone,,CID6758,6758,,
,MCF7,breast,cID_5490,PF-00562151-00,10uM,concordanceLib2,,perturbagen,PF-00562151-00_0.00001,control,LIB_2,LSM-5805,4.0,4.0,,,CMAP_5490,,,,,,,PF-00562151-00,,,,,
,MCF7,breast,cID_5496,PF-00875133-00,10uM,concordanceLib2,,perturbagen,PF-00875133-00_0.00001,control,LIB_2,LSM-5805,2.0,2.0,,,CMAP_5496,,,,,,,PF-00875133-00,,,,,
,PC3,prostate,cID_5501,pioglitazone,10uM,concordanceLib2,,perturbagen,pioglitazone_0.00001,control,LIB_2,LSM-1592,5.0,5.0,,,CMAP_5501,,,,Peroxisome proliferator-activated receptor gamma agonist,PPARG,,pioglitazone,,CID4829,4829,,
,MCF7,breast,cID_5506,H-7,100uM,concordanceLib2,,perturbagen,H-7_0.0001,control,LIB_2,LSM-5082,2.0,2.0,,,CMAP_5506,,,,PKA inhibitor,,,H-7,,CID3542,3542,,
,PC3,prostate,cID_5507,H-7,100uM,concordanceLib2,,perturbagen,H-7_0.0001,control,LIB_2,LSM-5082,2.0,2.0,,,CMAP_5507,,,,PKA inhibitor,,,H-7,,CID3542,3542,,
,MCF7,breast,cID_552,benserazide,13.6uM,concordanceLib2,,perturbagen,benserazide_0.0000136,control,LIB_2,LSM-5097,12.0,2.0,,,CMAP_552,,,,DOPA decarboxylase inhibitor,DDC,,benserazide,,CID2327,2327,,
,MCF7,breast,cID_5556,5707885,50uM,concordanceLib2,,perturbagen,5707885_0.00005,control,LIB_2,LSM-6726,2.0,2.0,,,CMAP_5556,,,,,,,5707885,,CID2863472,2863472,,
,PC3,prostate,cID_5557,5707885,50uM,concordanceLib2,,perturbagen,5707885_0.00005,control,LIB_2,LSM-6726,2.0,2.0,,,CMAP_5557,,,,,,,5707885,,CID2863472,2863472,,
,MCF7,breast,cID_5562,C-75,10uM,concordanceLib2,,perturbagen,C-75_0.00001,control,LIB_2,LSM-6372,2.0,2.0,,,CMAP_5562,,,,,,,C-75,,CID4248455,4248455,,
,MCF7,breast,cID_5568,F0447-0125,10uM,concordanceLib2,,perturbagen,F0447-0125_0.00001,control,LIB_2,LSM-5805,2.0,2.0,,,CMAP_5568,,,,,,,F0447-0125,,,,,
,MCF7,breast,cID_5574,5155877,10uM,concordanceLib2,,perturbagen,5155877_0.00001,control,LIB_2,LSM-5805,2.0,2.0,,,CMAP_5574,,,,,,,5155877,,,,,
,PC3,prostate,cID_5575,5155877,10uM,concordanceLib2,,perturbagen,5155877_0.00001,control,LIB_2,LSM-5805,2.0,2.0,,,CMAP_5575,,,,,,,5155877,,,,,
,MCF7,breast,cID_5580,PHA-00767505E,10uM,concordanceLib2,,perturbagen,PHA-00767505E_0.00001,control,LIB_2,LSM-5805,2.0,2.0,,,CMAP_5580,,,,,,,PHA-00767505E,,,,,
,PC3,prostate,cID_5587,dinoprostone,10uM,concordanceLib2,,perturbagen,dinoprostone_0.00001,control,LIB_2,LSM-42919,2.0,2.0,,,CMAP_5587,,,,Prostaglandin E2 receptor agonist,PTGER1|PTGER2|PTGER3|PTGER4,,dinoprostone,,CID5280360,5280360,,
,MCF7,breast,cID_5592,5194442,20uM,concordanceLib2,,perturbagen,5194442_0.00002,control,LIB_2,LSM-5805,2.0,2.0,,,CMAP_5592,,,,,,,5194442,,,,,
,MCF7,breast,cID_5602,6-bromoindirubin-3'-oxime,0.5uM,concordanceLib2,,perturbagen,6-bromoindirubin-3'-oxime_0.0000005,control,LIB_2,,3.0,3.0,,,CMAP_5602,,,,,,,6-bromoindirubin-3'-oxime,,CID5287844,5287844,,
,PC3,prostate,cID_5603,6-bromoindirubin-3'-oxime,0.5uM,concordanceLib2,,perturbagen,6-bromoindirubin-3'-oxime_0.0000005,control,LIB_2,,4.0,4.0,,,CMAP_5603,,,,,,,6-bromoindirubin-3'-oxime,,CID5287844,5287844,,
,PC3,prostate,cID_5608,Gly-His-Lys,1uM,concordanceLib2,,perturbagen,Gly-His-Lys_0.000001,control,LIB_2,LSM-6466,2.0,2.0,,,CMAP_5608,,,,,,,Gly-His-Lys,,CID22214678,22214678,,
,PC3,prostate,cID_5610,STOCK1N-35874,14uM,concordanceLib2,,perturbagen,STOCK1N-35874_0.000014,control,LIB_2,LSM-5805,2.0,2.0,,,CMAP_5610,,,,,,,STOCK1N-35874,,,,,
,PC3,prostate,cID_5616,"16,16-dimethylprostaglandin E2",10uM,concordanceLib2,,perturbagen,"16,16-dimethylprostaglandin E2_0.00001",control,LIB_2,LSM-43285,2.0,2.0,,,CMAP_5616,,,,Prostanoid receptor agonist,HPGD,,"16,16-dimethylprostaglandin E2",,CID5283066,5283066,,
,PC3,prostate,cID_5620,PNU-0293363,10uM,concordanceLib2,,perturbagen,PNU-0293363_0.00001,control,LIB_2,LSM-5805,2.0,2.0,,,CMAP_5620,,,,,,,PNU-0293363,,,,,
,MCF7,breast,cID_5670,0297417-0002B,10uM,concordanceLib2,,perturbagen,0297417-0002B_0.00001,control,LIB_2,LSM-5805,2.0,2.0,,,CMAP_5670,,,,,,,0297417-0002B,,,,,
,PC3,prostate,cID_5674,scriptaid,10uM,concordanceLib2,,perturbagen,scriptaid_0.00001,control,LIB_2,LSM-2499,2.0,2.0,,,CMAP_5674,,,,HDAC inhibitor,HDAC1,,scriptaid,,CID5186,5186,,
,MCF7,breast,cID_5678,lomustine,100uM,concordanceLib2,,perturbagen,lomustine_0.0001,control,LIB_2,,2.0,2.0,,,CMAP_5678,,,,,,,lomustine,,CID3950,3950,,
,PC3,prostate,cID_5679,lomustine,100uM,concordanceLib2,,perturbagen,lomustine_0.0001,control,LIB_2,,2.0,2.0,,,CMAP_5679,,,,,,,lomustine,,CID3950,3950,,
,PC3,prostate,cID_5692,alsterpaullone,10uM,concordanceLib2,,perturbagen,alsterpaullone_0.00001,control,LIB_2,LSM-6558,2.0,2.0,,,CMAP_5692,,,,,,,alsterpaullone,,CID5005498,5005498,,
,MCF7,breast,cID_5702,thapsigargin,0.1uM,concordanceLib2,,perturbagen,thapsigargin_0.0000001,control,LIB_2,LSM-43008,2.0,2.0,,,CMAP_5702,,,,ATPase inhibitor,ATP2A1,,thapsigargin,,CID446378,446378,,
,MCF7,breast,cID_5712,GW-8510,10uM,concordanceLib2,,perturbagen,GW-8510_0.00001,control,LIB_2,LSM-43329,2.0,2.0,,,CMAP_5712,,,,,,,GW-8510,,CID6539118,6539118,,
,PC3,prostate,cID_5713,GW-8510,10uM,concordanceLib2,,perturbagen,GW-8510_0.00001,control,LIB_2,LSM-43329,2.0,2.0,,,CMAP_5713,,,,,,,GW-8510,,CID6539118,6539118,,
,PC3,prostate,cID_5718,MG-262,0.1uM,concordanceLib2,,perturbagen,MG-262_0.0000001,control,LIB_2,,2.0,2.0,,,CMAP_5718,,,,,,,MG-262,,CID490002,490002,,
,PC3,prostate,cID_5728,AR-A014418,10uM,concordanceLib2,,perturbagen,AR-A014418_0.00001,control,LIB_2,LSM-3514,2.0,2.0,,,CMAP_5728,,,,Glycogen synthase kinase inhibitor,GSK3B,,AR-A014418,,CID448014,448014,,
,PC3,prostate,cID_573,colforsin,0.5uM,concordanceLib2,,perturbagen,colforsin_0.0000005,control,LIB_2,LSM-2193,2.0,2.0,,,CMAP_573,,,,Adenylyl cyclase activator,ADCY2,,colforsin,,CID47936,47936,,
,PC3,prostate,cID_5738,MS-275,10uM,concordanceLib2,,perturbagen,MS-275_0.00001,control,LIB_2,LSM-4811,2.0,2.0,,,CMAP_5738,,,,Histone deacetylase inhibitor,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,,MS-275,,CID4261,4261,,
,MCF7,breast,cID_574,colforsin,"50uM,0.5uM",concordanceLib2,,perturbagen,"colforsin_0.00005,0.0000005",control,LIB_2,LSM-2193,7.0,2.0,,,CMAP_574,,,,Adenylyl cyclase activator,ADCY2,,colforsin,,CID47936,47936,,
,MCF7,breast,cID_5744,CP-319743,10uM,concordanceLib2,,perturbagen,CP-319743_0.00001,control,LIB_2,LSM-5805,2.0,2.0,,,CMAP_5744,,,,,,,CP-319743,,,,,
,MCF7,breast,cID_5750,semustine,100uM,concordanceLib2,,perturbagen,semustine_0.0001,control,LIB_2,LSM-6714,2.0,2.0,,,CMAP_5750,,,,,,,semustine,,CID5198,5198,,
,PC3,prostate,cID_5751,semustine,100uM,concordanceLib2,,perturbagen,semustine_0.0001,control,LIB_2,LSM-6714,2.0,2.0,,,CMAP_5751,,,,,,,semustine,,CID5198,5198,,
,MCF7,breast,cID_576,rottlerin,10uM,concordanceLib2,,perturbagen,rottlerin_0.00001,control,LIB_2,LSM-42845,18.0,3.0,,,CMAP_576,,,,MAP kinase inhibitor|Protein kinase inhibitor,,,rottlerin,,CID5281847,5281847,,
,PC3,prostate,cID_5763,15(S)-15-methylprostaglandin E2,10uM,concordanceLib2,,perturbagen,15(S)-15-methylprostaglandin E2_0.00001,control,LIB_2,,2.0,2.0,,,CMAP_5763,,,,,,,15(S)-15-methylprostaglandin E2,,CID20981549,20981549,,
,MCF7,breast,cID_5780,irinotecan,100uM,concordanceLib2,,perturbagen,irinotecan_0.0001,control,LIB_2,LSM-2167,2.0,2.0,,,CMAP_5780,,,,DNA topoisomerase I inhibitor,TOP1,,irinotecan,,CID60838,60838,,
,PC3,prostate,cID_5785,meteneprost,10uM,concordanceLib2,,perturbagen,meteneprost_0.00001,control,LIB_2,,2.0,2.0,,,CMAP_5785,,,,,,,meteneprost,,CID5283060,5283060,,
,MCF7,breast,cID_581,prazosin,10uM,concordanceLib2,,perturbagen,prazosin_0.00001,control,LIB_2,LSM-3079,12.0,2.0,,,CMAP_581,,,,Adrenergic receptor alpha-1 antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C,,prazosin,,CID4893,4893,,
,PC3,prostate,cID_5813,"11-deoxy-16,16-dimethylprostaglandin E2",10uM,concordanceLib2,,perturbagen,"11-deoxy-16,16-dimethylprostaglandin E2_0.00001",control,LIB_2,,2.0,2.0,,,CMAP_5813,,,,,,,"11-deoxy-16,16-dimethylprostaglandin E2",,CID5283063,5283063,,
,MCF7,breast,cID_586,5252917,14uM,concordanceLib2,,perturbagen,5252917_0.000014,control,LIB_2,,12.0,2.0,,,CMAP_586,,,,,,,5252917,,CID1376691,1376691,,
,MCF7,breast,cID_603,carbamazepine,0.1uM,concordanceLib2,,perturbagen,carbamazepine_0.0000001,control,LIB_2,LSM-3610,18.0,3.0,,,CMAP_603,,,,Sodium channel alpha subunit blocker,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,,carbamazepine,,CID2554,2554,,
,MCF7,breast,cID_608,carbamazepine,"0.1uM,17uM",concordanceLib2,,perturbagen,"carbamazepine_0.0000001,0.000017",control,LIB_2,LSM-3610,30.0,5.0,,,CMAP_608,,,,Sodium channel alpha subunit blocker,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,,carbamazepine,,CID2554,2554,,
,MCF7,breast,cID_614,5248896,11uM,concordanceLib2,,perturbagen,5248896_0.000011,control,LIB_2,,12.0,2.0,,,CMAP_614,,,,,,,5248896,,CID23919054,23919054,,
,MCF7,breast,cID_618,5224221,12uM,concordanceLib2,,perturbagen,5224221_0.000012,control,LIB_2,LSM-5805,12.0,2.0,,,CMAP_618,,,,,,,5224221,,,,,
,MCF7,breast,cID_622,5279552,22uM,concordanceLib2,,perturbagen,5279552_0.000022,control,LIB_2,,12.0,2.0,,,CMAP_622,,,,,,,5279552,,CID911462,911462,,
,MCF7,breast,cID_626,5253409,17uM,concordanceLib2,,perturbagen,5253409_0.000017,control,LIB_2,LSM-37000,12.0,2.0,,,CMAP_626,,,,HDAC activator,,,5253409,,CID771910,771910,,
,MCF7,breast,cID_635,oxaprozin,300uM,concordanceLib2,,perturbagen,oxaprozin_0.0003,control,LIB_2,LSM-2553,12.0,2.0,,,CMAP_635,,,,Cyclooxygenase inhibitor,PTGS1|PTGS2,,oxaprozin,,CID4614,4614,,
,MCF7,breast,cID_642,quinostatin,10uM,concordanceLib2,,perturbagen,quinostatin_0.00001,control,LIB_2,,12.0,2.0,,,CMAP_642,,,,,,,quinostatin,,CID6620134,6620134,,
,MCF7,breast,cID_646,ikarugamycin,2uM,concordanceLib2,,perturbagen,ikarugamycin_0.000002,control,LIB_2,LSM-43300,18.0,3.0,,,CMAP_646,,,,,,,ikarugamycin,,CID54680304,54680304,,
,PC3,prostate,cID_65,dexamethasone,9.2uM,concordanceLib2,,perturbagen,dexamethasone_0.0000092,control,LIB_2,LSM-5512,12.0,2.0,,,CMAP_65,,,,Glucocorticoid receptor agonist,NR3C1,,dexamethasone,,CID5743,5743,,
,MCF7,breast,cID_650,5182598,25uM,concordanceLib2,,perturbagen,5182598_0.000025,control,LIB_2,,12.0,2.0,,,CMAP_650,,,,,,,5182598,,CID5718180,5718180,,
,MCF7,breast,cID_655,pyrvinium,1.25uM,concordanceLib2,,perturbagen,pyrvinium_0.00000125,control,LIB_2,LSM-45210,12.0,2.0,,,CMAP_655,,,,,,,pyrvinium,,CID54680693,54680693,,
,MCF7,breast,cID_658,pyrvinium,3.4uM,concordanceLib2,,perturbagen,pyrvinium_0.0000034,control,LIB_2,LSM-45210,11.0,2.0,,,CMAP_658,,,,,,,pyrvinium,,CID54680693,54680693,,
,MCF7,breast,cID_659,pyrvinium,"1.25uM,3.4uM",concordanceLib2,,perturbagen,"pyrvinium_0.00000125,0.0000034",control,LIB_2,LSM-45210,23.0,4.0,,,CMAP_659,,,,,,,pyrvinium,,CID54680693,54680693,,
,MCF7,breast,cID_660,ionomycin,2uM,concordanceLib2,,perturbagen,ionomycin_0.000002,control,LIB_2,LSM-43160,18.0,3.0,,,CMAP_660,,,,Calcium channel modulator,,,ionomycin,,CID73652146,73652146,,
,MCF7,breast,cID_664,depudecin,1uM,concordanceLib2,,perturbagen,depudecin_0.000001,control,LIB_2,LSM-43319,12.0,2.0,,,CMAP_664,,,,,,,depudecin,,CID16219259,16219259,,
,MCF7,breast,cID_670,clotrimazole,11.6uM,concordanceLib2,,perturbagen,clotrimazole_0.0000116,control,LIB_2,LSM-5341,11.0,2.0,,,CMAP_670,,,,Cytochrome P450 51 inhibitor,KCNN4,,clotrimazole,,CID2812,2812,,
,MCF7,breast,cID_671,clotrimazole,"50uM,11.6uM",concordanceLib2,,perturbagen,"clotrimazole_0.00005,0.0000116",control,LIB_2,LSM-5341,17.0,3.0,,,CMAP_671,,,,Cytochrome P450 51 inhibitor,KCNN4,,clotrimazole,,CID2812,2812,,
,MCF7,breast,cID_674,alvespimycin,0.1uM,concordanceLib2,,perturbagen,alvespimycin_0.0000001,control,LIB_2,LSM-43241,42.0,7.0,,,CMAP_674,,,,HSP inhibitor,HSP90AA1,,alvespimycin,,CID5288674,5288674,,
,HL60,haematopoietic and lymphoid tissue,cID_675,alvespimycin,0.1uM,concordanceLib2,,perturbagen,alvespimycin_0.0000001,control,LIB_2,LSM-43241,17.0,3.0,,,CMAP_675,,,,HSP inhibitor,HSP90AA1,,alvespimycin,,CID5288674,5288674,,
,PC3,prostate,cID_676,alvespimycin,0.1uM,concordanceLib2,,perturbagen,alvespimycin_0.0000001,control,LIB_2,LSM-43241,12.0,2.0,,,CMAP_676,,,,HSP inhibitor,HSP90AA1,,alvespimycin,,CID5288674,5288674,,
,MCF7,breast,cID_682,vorinostat,10uM,concordanceLib2,,perturbagen,vorinostat_0.00001,control,LIB_2,LSM-3828,42.0,7.0,,,CMAP_682,,,,Histone deacetylase 1 inhibitor|Histone deacetylase 3 inhibitor|Histone deacetylase 6 inhibitor|Histone deacetylase 2 inhibitor,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8,,vorinostat,,CID5311,5311,,
,HL60,haematopoietic and lymphoid tissue,cID_683,vorinostat,10uM,concordanceLib2,,perturbagen,vorinostat_0.00001,control,LIB_2,LSM-3828,17.0,3.0,,,CMAP_683,,,,Histone deacetylase 1 inhibitor|Histone deacetylase 3 inhibitor|Histone deacetylase 6 inhibitor|Histone deacetylase 2 inhibitor,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8,,vorinostat,,CID5311,5311,,
,PC3,prostate,cID_684,vorinostat,10uM,concordanceLib2,,perturbagen,vorinostat_0.00001,control,LIB_2,LSM-3828,12.0,2.0,,,CMAP_684,,,,Histone deacetylase 1 inhibitor|Histone deacetylase 3 inhibitor|Histone deacetylase 6 inhibitor|Histone deacetylase 2 inhibitor,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8,,vorinostat,,CID5311,5311,,
,MCF7,breast,cID_690,monensin,5.8uM,concordanceLib2,,perturbagen,monensin_0.0000058,control,LIB_2,LSM-5659,12.0,2.0,,,CMAP_690,,,,Bacterial permeability inducer,,,monensin,,CID441145,441145,,
,PC3,prostate,cID_691,monensin,5.8uM,concordanceLib2,,perturbagen,monensin_0.0000058,control,LIB_2,LSM-5659,11.0,2.0,,,CMAP_691,,,,Bacterial permeability inducer,,,monensin,,CID441145,441145,,
,MCF7,breast,cID_692,monensin,"10.9uM,5.8uM",concordanceLib2,,perturbagen,"monensin_0.0000109,0.0000058",control,LIB_2,LSM-5659,18.0,3.0,,,CMAP_692,,,,Bacterial permeability inducer,,,monensin,,CID441145,441145,,
,MCF7,breast,cID_7,metformin,"10uM,0.1uM,0uM",concordanceLib2,,perturbagen,"metformin_0.00001,0.0000001,0.001,0.0000242",control,LIB_2,LSM-4730,14.0,7.0,,,CMAP_7,,,,Mitochondrial complex I (NADH dehydrogenase) inhibitor (Mitochondrial complex I|Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,GPD2|MT-ND1|ND2|ND3|ND4|ND4L|ND5|ND6|NDUFA1|NDUFA10|NDUFA11|NDUFA12|NDUFA13|NDUFA2|NDUFA3|NDUFA4|NDUFA4L2|NDUFA5|NDUFA6|NDUFA7|NDUFA8|NDUFA9|NDUFAB1|NDUFAF1|NDUFAF2|NDUFAF3|NDUFAF4|NDUFB1|NDUFB10|NDUFB11|NDUFB2|NDUFB3|NDUFB4|NDUFB5|NDUFB6|NDUFB7|NDUFB8|NDUFB9|NDUFC1|NDUFC2|NDUFS1|NDUFS2|NDUFS3|NDUFS4|NDUFS5|NDUFS6|NDUFS7|NDUFS8|NDUFV1|NDUFV2|NDUFV3,,metformin,,CID4091,4091,,
,MCF7,breast,cID_722,thioguanosine,12.6uM,concordanceLib2,,perturbagen,thioguanosine_0.0000126,control,LIB_2,LSM-5832,11.0,2.0,,,CMAP_722,,,,Purine antagonist,,,thioguanosine,,CID2724387,2724387,,
,MCF7,breast,cID_730,benfluorex,10.4uM,concordanceLib2,,perturbagen,benfluorex_0.0000104,control,LIB_2,LSM-4365,11.0,2.0,,,CMAP_730,,,,Gluconeogenesis inhibitor,HMGCR,,benfluorex,,CID2318,2318,,
,MCF7,breast,cID_742,clomifene,6.6uM,concordanceLib2,,perturbagen,clomifene_0.0000066,control,LIB_2,LSM-42850,11.0,2.0,,,CMAP_742,,,,Estrogen receptor antagonist,ESR1,,clomifene,,CID1548953,1548953,,
,MCF7,breast,cID_750,N6-methyladenosine,14.2uM,concordanceLib2,,perturbagen,N6-methyladenosine_0.0000142,control,LIB_2,LSM-3835,11.0,2.0,,,CMAP_750,,,,,,,N6-methyladenosine,,CID102175,102175,,
,MCF7,breast,cID_754,chlorprothixene,11.4uM,concordanceLib2,,perturbagen,chlorprothixene_0.0000114,control,LIB_2,LSM-42990,11.0,2.0,,,CMAP_754,,,,Dopamine receptor antagonist,DRD2|DRD3|HTR2A|HTR2C,,chlorprothixene,,CID667466,667466,,
,MCF7,breast,cID_76,chlorpropamide,14.4uM,concordanceLib2,,perturbagen,chlorpropamide_0.0000144,control,LIB_2,LSM-6695,11.0,2.0,,,CMAP_76,,,,"Sulfonylurea receptor 1, Kir6.2 blocker",ABCC8|KCNJ11,,chlorpropamide,,CID2727,2727,,
,MCF7,breast,cID_762,bepridil,10uM,concordanceLib2,,perturbagen,bepridil_0.00001,control,LIB_2,LSM-1898,10.0,2.0,,,CMAP_762,,,,Voltage-gated calcium channel blocker,CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1E|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNA2D1|CACNA2D2|CACNA2D3|CACNA2D4|CACNB1|CACNB2|CACNB3|CACNB4|CACNG1|CACNG2|CACNG3|CACNG4|CACNG5|CACNG6|CACNG7|CACNG8,,bepridil,,CID2351,2351,,
,MCF7,breast,cID_77,chlorpropamide,"100uM,14.4uM",concordanceLib2,,perturbagen,"chlorpropamide_0.0001,0.0000144",control,LIB_2,LSM-6695,12.0,4.0,,,CMAP_77,,,,"Sulfonylurea receptor 1, Kir6.2 blocker",ABCC8|KCNJ11,,chlorpropamide,,CID2727,2727,,
,MCF7,breast,cID_770,dequalinium chloride,7.6uM,concordanceLib2,,perturbagen,dequalinium chloride_0.0000076,control,LIB_2,LSM-5846,10.0,2.0,,,CMAP_770,,,,PKC inhibitor,,,dequalinium chloride,,CID2993,2993,,
,MCF7,breast,cID_806,flupentixol,7.8uM,concordanceLib2,,perturbagen,flupentixol_0.0000078,control,LIB_2,LSM-43011,11.0,2.0,,,CMAP_806,,,,Dopamine receptor antagonist,DRD1|DRD2,,flupentixol,,CID5281881,5281881,,
,MCF7,breast,cID_828,testosterone,11.6uM,concordanceLib2,,perturbagen,testosterone_0.0000116,control,LIB_2,LSM-4025,17.0,3.0,,,CMAP_828,,,,Androgen Receptor agonist,AR,,testosterone,,CID5995,5995,,
,MCF7,breast,cID_836,suloctidil,11.8uM,concordanceLib2,,perturbagen,suloctidil_0.0000118,control,LIB_2,LSM-1469,11.0,2.0,,,CMAP_836,,,,Adrenergic receptor antagonist,,,suloctidil,,CID5354,5354,,
,MCF7,breast,cID_844,domperidone,7.4uM,concordanceLib2,,perturbagen,domperidone_0.0000074,control,LIB_2,LSM-2850,10.0,2.0,,,CMAP_844,,,,Dopamine receptor antagonist,DRD2|DRD3,,domperidone,,CID3151,3151,,
,MCF7,breast,cID_848,ouabain,5.4uM,concordanceLib2,,perturbagen,ouabain_0.0000054,control,LIB_2,LSM-2781,11.0,2.0,,,CMAP_848,,,,ATPase inhibitor,ATP1A1,,ouabain,,CID439501,439501,,
,MCF7,breast,cID_856,anisomycin,15uM,concordanceLib2,,perturbagen,anisomycin_0.000015,control,LIB_2,LSM-4047,11.0,2.0,,,CMAP_856,,,,DNA synthesis inhibitor,,,anisomycin,,CID253602,253602,,
,MCF7,breast,cID_864,corticosterone,11.6uM,concordanceLib2,,perturbagen,corticosterone_0.0000116,control,LIB_2,LSM-5814,11.0,2.0,,,CMAP_864,,,,Mineralocorticoid receptor agonist,HSD11B1|NR3C2,,corticosterone,,CID5753,5753,,
,MCF7,breast,cID_88,tamoxifen,7uM,concordanceLib2,,perturbagen,tamoxifen_0.000007,control,LIB_2,LSM-42959,11.0,2.0,,,CMAP_88,,,,Estrogen receptor alpha modulator,ESR1|ESR2,,tamoxifen,,CID2733526,2733526,,
,MCF7,breast,cID_89,tamoxifen,"1uM,7uM",concordanceLib2,,perturbagen,"tamoxifen_0.000001,0.000007",control,LIB_2,LSM-42959,13.0,4.0,,,CMAP_89,,,,Estrogen receptor alpha modulator,ESR1|ESR2,,tamoxifen,,CID2733526,2733526,,
,MCF7,breast,cID_916,apigenin,14.8uM,concordanceLib2,,perturbagen,apigenin_0.0000148,control,LIB_2,LSM-5206,11.0,2.0,,,CMAP_916,,,,Casein kinase inhibitor|Cell proliferation inhibitor|Cytochrome P450 inhibitor,,,apigenin,,CID5280443,5280443,,
,MCF7,breast,cID_936,N-acetylmuramic acid,13.6uM,concordanceLib2,,perturbagen,N-acetylmuramic acid_0.0000136,control,LIB_2,LSM-6424,11.0,2.0,,,CMAP_936,,,,,,,N-acetylmuramic acid,,CID6713944,6713944,,
,MCF7,breast,cID_984,digitoxigenin,10.6uM,concordanceLib2,,perturbagen,digitoxigenin_0.0000106,control,LIB_2,LSM-2401,11.0,2.0,,,CMAP_984,,,,ATPase inhibitor,,,digitoxigenin,,CID4369270,4369270,,
,MCF7,breast,cID_996,naringenin,14.6uM,concordanceLib2,,perturbagen,naringenin_0.0000146,control,LIB_2,LSM-1927,11.0,2.0,,,CMAP_996,,,,Aromatase inhibitor|TRPV antagonist,CYP19A1|ESR2,,naringenin,,CID932,932,,
,,CTRP cell lines,,CIL55,0.0003 - 10uM,concordanceLib10,,,,,LIB_10,,,,,,CTRS_1,,,,,,,CIL55,BRD-K46556387,,,,
,,CTRP cell lines,,Thalidomide,0.002 - 66uM,concordanceLib10,,,,,LIB_10,LSM-1914,,,,,CTRS_10,,,,TNF production inhibitor,CRBN|CUL4A|DDB1|RBX1|TNF,,Thalidomide,BRD-A93255169,,,,
,,CTRP cell lines,,BAS 02002358,0.002 - 66uM,concordanceLib10,,,,,LIB_10,LSM-1843,,,,,CTRS_100,,,,Estrogen receptor antagonist,GPER1,,BAS 02002358,BRD-A83255679,,,,
,,bone cancer,,BRD-K42260513,0.002 - 66uM,concordanceLib10,,,,,LIB_10,,,,,,CTRS_1000,,,,,,,BRD-K42260513,BRD-K42260513,,,,
